customerID,age,Gender,Income,HeadofHousehold,number_household,months_residence,T1count_30d,T2count_30d,T3count_30d,T1spend_30d,T2spend_30d,T3spend_30d,T1count_10d,T2count_10d,T3count_10d,T1spend_10d,T2spend_10d,T3spend_10d,T1count_3d,T2count_3d,T3count_3d,T1spend_3d,T2spend_3d,T3spend_3d,r_60d,f_60d,T1_m_60d,T2_m_60d,T3_m_60d,label
1,29,M,Greater_than_100K,F,1,5,13879,354,463,167,0,0,4401,117,148,4,0,0,1880,53,71,0,0,0,1,56,264,0,0,0
10,43,M,Greater_than_100K,F,3,55,14265,274,481,186,0,0,4747,64,143,0,0,0,1763,18,61,0,0,0,1,56,348,0,0,0
100,51,M,Greater_than_100K,T,3,36,14382,340,447,272,0,0,4534,91,88,120,0,0,1898,35,100,17,0,0,1,56,421,0,0,1
1000,32,M,50K_100K,T,4,56,14188,714,839,70,0,0,4421,191,241,30,0,0,1842,125,122,0,0,0,1,112,378,0,0,0
1001,13,M,10K_50K,F,1,5,328,402,485,0,0,0,85,112,193,0,0,0,41,79,55,0,0,0,1,56,0,0,0,0
1002,20,M,10K_50K,T,3,10,336,309,384,0,0,0,85,114,136,0,0,0,22,45,44,0,0,0,1,56,0,0,0,0
1003,19,M,10K_50K,T,2,43,359,431,472,0,0,0,89,120,174,0,0,0,44,28,65,0,0,0,1,56,0,0,0,0
1004,20,M,10K_50K,T,3,39,349,333,485,0,0,0,106,112,154,0,0,0,48,36,52,0,0,0,1,56,0,0,0,0
1005,23,M,10K_50K,T,2,5,259,358,508,0,0,0,99,130,162,0,0,0,30,6,56,0,0,0,1,56,0,0,0,0
1006,20,M,10K_50K,T,4,43,395,366,438,0,0,0,110,105,174,0,0,0,63,34,49,0,0,0,1,56,0,0,0,0
1007,12,M,Less_than_10K,T,4,23,382,376,517,0,0,0,112,115,182,0,0,0,27,55,55,0,0,0,1,56,0,0,0,0
1008,15,M,10K_50K,F,4,25,297,255,431,0,0,0,96,87,117,0,0,0,61,77,35,0,0,0,1,56,0,0,0,0
1009,20,M,Less_than_10K,T,1,1,380,274,481,0,0,0,156,64,143,0,0,0,45,18,61,0,0,0,1,56,0,0,0,0
101,26,M,Greater_than_100K,T,3,8,14336,382,510,137,0,0,4687,182,159,0,0,0,1680,53,69,0,0,0,1,56,238,0,0,0
1010,18,M,10K_50K,F,3,55,318,362,439,0,0,0,118,133,147,0,0,0,57,28,46,0,0,0,1,56,0,0,0,0
1011,21,M,10K_50K,T,1,3,340,420,479,0,0,0,92,219,149,0,0,0,65,35,44,0,0,0,1,56,0,0,0,0
1012,19,M,Less_than_10K,F,2,16,346,450,483,0,0,0,109,128,162,0,0,0,28,50,69,0,0,0,1,56,0,0,0,0
1013,15,M,Less_than_10K,F,1,14,325,339,506,0,0,0,99,191,164,0,0,0,53,59,60,0,0,0,1,56,0,0,0,0
1014,24,M,10K_50K,T,2,11,376,412,471,0,0,0,64,93,159,0,0,0,13,29,71,0,0,0,1,56,0,0,0,0
1015,15,M,10K_50K,T,3,37,312,364,485,0,0,0,134,128,158,0,0,0,23,49,68,0,0,0,1,56,0,0,0,0
1016,22,M,10K_50K,T,3,51,341,236,423,0,0,0,109,66,126,0,0,0,22,29,41,0,0,0,1,56,0,0,0,0
1017,15,M,10K_50K,T,2,35,389,373,483,0,0,0,86,108,158,0,0,0,53,33,66,0,0,0,1,56,0,0,0,0
