1,"29","M","Greater_than_100K","F","1","5"
2,"47","M","Greater_than_100K","T","3","10"
3,"46","M","Greater_than_100K","T","2","43"
4,"47","M","Greater_than_100K","T","3","39"
5,"55","M","Greater_than_100K","T","2","5"
6,"48","M","Greater_than_100K","T","4","43"
7,"25","M","50K_100K","T","4","23"
8,"33","M","Greater_than_100K","F","4","25"
9,"48","M","50K_100K","T","1","1"
10,"43","M","Greater_than_100K","F","3","55"
11,"49","M","Greater_than_100K","T","1","3"
12,"44","M","50K_100K","F","2","16"
13,"35","M","50K_100K","F","1","14"
14,"58","M","Greater_than_100K","T","2","11"
15,"35","M","Greater_than_100K","T","3","37"
16,"55","M","Greater_than_100K","T","3","51"
17,"35","M","Greater_than_100K","T","2","35"
18,"34","M","50K_100K","F","2","12"
19,"31","M","Greater_than_100K","T","1","50"
20,"33","M","Greater_than_100K","T","4","23"
21,"36","M","50K_100K","T","1","40"
22,"35","M","50K_100K","F","4","11"
23,"30","M","50K_100K","T","1","41"
24,"26","M","Greater_than_100K","F","3","52"
25,"32","M","Greater_than_100K","F","3","10"
26,"54","M","50K_100K","F","4","6"
27,"43","M","Greater_than_100K","F","3","7"
28,"57","M","Greater_than_100K","T","4","59"
29,"54","M","Greater_than_100K","T","1","16"
30,"26","M","Greater_than_100K","T","2","38"
31,"41","M","Greater_than_100K","T","4","2"
32,"34","M","Greater_than_100K","F","2","33"
33,"35","M","Greater_than_100K","F","3","28"
34,"43","M","Greater_than_100K","T","1","6"
35,"31","M","Greater_than_100K","F","3","24"
36,"52","M","Greater_than_100K","T","2","33"
37,"32","M","Greater_than_100K","F","3","18"
38,"34","M","Greater_than_100K","F","4","7"
39,"60","M","Greater_than_100K","T","3","34"
40,"54","M","Greater_than_100K","F","3","12"
41,"44","M","Greater_than_100K","T","4","4"
42,"48","M","Greater_than_100K","T","1","26"
43,"36","M","Greater_than_100K","F","2","1"
44,"47","M","50K_100K","F","1","53"
45,"36","M","Greater_than_100K","F","3","43"
46,"43","M","50K_100K","T","4","7"
47,"49","M","Greater_than_100K","F","4","10"
48,"42","M","Greater_than_100K","T","2","46"
49,"33","M","Greater_than_100K","F","1","11"
50,"52","M","Greater_than_100K","F","2","21"
